title,url,company,description
Data Аналитик (в направлении маркетинг/прогноз продаж),https://ekaterinburg.hh.ru/vacancy/35474387?query=python,ООО Парфюмерный супермаркет Золотое Яблоко,"Подготовка аналитических записок и отчётов. Разработка отчётов по клиентским метрикам (ltv, отток, конверсия, средний чек, стоимость привлечения и прочее).  ...и визуализация данных. Понимание основных маркетинговых метрик. Дополнительным преимуществом будет умение работать с помощью python, а также работа с ClickHouse."
Инженер DevOps,https://ekaterinburg.hh.ru/vacancy/34712763?query=python,ООО СКБ ЛАБ,"Автоматизация процессов CI/CD. Проектирование отказоустойчивых систем. Установка обновлений различных сервисов. Настройка серверов и ПО. Поддержка стабильного процесса выпуска версий... Умение конфигурировать Nginx (ssl, request limits, cache, headers manipulation). Опыт написания bash / python скриптов. Опыт создания/поддержки отказоустойчивых распределенных серверных..."
Программист С++,https://ekaterinburg.hh.ru/vacancy/35588439?query=python,ООО Тензор,Разработке системы быстрой и удобной работы с электронными документами. Оптимизации импорта xml-шаблонов росстата с сайтов госорганов. Высшее/неполное высшее образование. Опыт разработки на С++. Понимание эффективных алгоритмов и структур данных. Опыт разработки под win/nix приветствуется.
DevOps инженер,https://ekaterinburg.hh.ru/vacancy/35580229?query=python, Positive Technologies,"Автоматизацией деплоя для разных окружений, мы используем Terraform и Ansible. Разработкой CI/CD pipeline для выпуска продукта. Развитием мониторинга инфраструктурных... Опыт работы с системами configuration management. Умение писать на python и, желательно, bash. Опыт работы с системами виртуализации. "
Python программист (middle),https://ekaterinburg.hh.ru/vacancy/30025136?query=python,ООО Строительный Двор,"Качественное и своевременное исполнение задач web-проекта и непосредственного руководителя. Поддержка и доработка уже существующих сайтов. Разработка концепции развития веб... Опыт работы от 2+ года в разработке Python, или других языках. Практический опыт работы с операционными системами семейства *nix. "
Инженер-программист отдела тестирования,https://ekaterinburg.hh.ru/vacancy/33951627?query=python, InfiNet Wireless,"Участие в написании системы тестирования и контроля качества при производстве оборудования. Разработка и внедрение методик тестирования оборудования в процессе производства.  Владение языком программирования Java. Владение скриптовыми языками программирования (Python, Bash etc). Умение работать в профильной интегрированной среде разработчика (Eclipse IDE). "
Разработчик на Golang (Go),https://ekaterinburg.hh.ru/vacancy/34209907?query=python,ООО СкайДНС,Разработка для Linux. Практический опыт разработки сетевого ПО. Опыт разработки на языке Golang или Python от 1 года. Свободное владение Linux. 
Системный аналитик (Naumen Contact Center),https://ekaterinburg.hh.ru/vacancy/35409581?query=python, NAUMEN,"Взаимодействие с заказчиками, выявление и анализ их потребностей, консультации по работе существующей системы. Сбор, систематизация, согласование требований к программному продукту.  Базовые знания одного из скриптовых языков (python, perl, bash, javascript). Знание основных нотаций описания бизнес-процессов. Знание бизнес-процессов контактных..."
Менеджер по подбору персонала (ИТ рекрутер),https://ekaterinburg.hh.ru/vacancy/32774042?query=python, NAUMEN,"Закрывать сложные вакансии: разработчики Scala/Java/Python, тестировщики, инженеры Linux, инженеры DevOps, аналитики и т.д.. Совместно с заказчиком разрабатывать... Высшее образование, в сфере Управление персоналом, Психология. Опыт работы в подборе персонала (на позиции всех уровней) от 1 года, желательно..."
Разработчик алгоритма,https://ekaterinburg.hh.ru/vacancy/35580924?query=python, Сбербанк для экспертов,"Разработка программного продукта, внесение изменений в код. Разработка с применением технологии Robotic Process Automation. Выполнение code review, ИФТ, регрессионного тестирования.  Знание нескольких языков программирования Java, Python, C#, C++, др. Знание SQL, иметь навыки написания качественных запросов. Знание английского языка, на..."
Data Scientist (Senior/Middle),https://ekaterinburg.hh.ru/vacancy/35190901?query=python,ПАО КБ «Уральский банк реконструкции и развития» (УБРиР),"Искать закономерности в данных с целью выявления новых бизнес возможностей (анализ данных, проверка гипотез, разработка математических моделей). - Бороться со сложными... Высшее образование (математическое, физико-техническое или радио-техническое). - Опыт успешного решения бизнес-задач с помощью моделей машинного обучения, которые были..."
Оператор алгоритма,https://ekaterinburg.hh.ru/vacancy/35581464?query=python, Сбербанк для экспертов,"Сопровождать реализованные алгоритмы. Устранение дефектов. Выполнение code review, ИФТ, регрессионного тестирования. Декомпозиция и анализ задач бэклога. Начальные знания одного из языков программирования Java, Python, C#, C++. Знание английского языка, на уровне, достаточном для чтения документации. "
Программист-разработчик,https://ekaterinburg.hh.ru/vacancy/35253242?query=python,АО Страховая Медицинская компания Астрамед-МС,Разработка новых и доработка уже существующих приложений на Qt(C++) и/или Delphi. Тестирование приложений. Проектирование баз данных и оптимизация... Хорошее знание SQL. Алгоритмическое мышление. Опыт разработки с использованием языка SQL. Плюсом будет знание платформы Qtи языка Python.
Преподаватель программирования и робототехники,https://ekaterinburg.hh.ru/vacancy/35520486?query=python,ИП Шамсутдинова Лэйсан Фаусовна,"Вести табель посещаемости. Отсутствие постановки на учёт у психиатра. Отсутствие постановки на учет в туберкулезном диспансере. Профессиональные компетенции: знание С#, JavaScript, HTML, CSS, PHP, MYSQL. Приветствуется знание: Python, Tynker, Kodu Lab Game, Roblox Studio, Scratch, Snap..."
Бэкенд-разработчик,https://ekaterinburg.hh.ru/vacancy/33632675?query=python, FunBox,"Вам предстоит участвовать в разработке сложных (web- и не только) сервисов с объемным бэкендом в профессиональной команде. Что нужно уметь: Хорошо знать один из веб-ориентированных языков: Ruby, Python, Perl, PHP, ASP. Уметь работать c Git. "
Системный администратор,https://ekaterinburg.hh.ru/vacancy/35502133?query=python,ООО УралТЭП,"Администрирование серверов под управлением: Windows, UNIX (FreeBSD, Linux). Администрирование: DNS, DHCP, AD, ISS, Squid, Forefront TMG, SharePoint, MS SQL, 1... ...системного администрирования от 5 лет. Навыки построения СКС, ЛВС. Понимание принципов TCP/IP. Знание скриптовых языков программирования Shell, Perl, Python."
Team lead в Сервисы для организаций,https://ekaterinburg.hh.ru/vacancy/35021071?query=python, Яндекс,"В автоматизацию бэк-офиса входят сервисы, которые помогают улучшать процессы в HR, аудите, закупках и других подразделениях. Коллаборация – это те... ...экспертиза в Python. Опыт использования различных веб-фреймворков: синхроонных (Django, Flask) и асинхронных (Tornado, Asyncio). Знания всей экосистемы Python. "
Программист,https://ekaterinburg.hh.ru/vacancy/34482959?query=python," К Телеком,ООО","Высокоскоростной безлимитный интернет. Местная, внутризоновая, междугородная и международная телефонная связь. Виртуальная АТС. Организация виртуальных частей сетей (VPN). Wi-Fi Hot... Опыт аналогичной работы от 1 года. Знание Perl и/или Python и/или РНР, JavaScript, HTML/CSS. Знание баз данных..."
Инженер по сетевым технологиям,https://ekaterinburg.hh.ru/vacancy/35436707?query=python, InfiNet Wireless,"Удаленная техническая поддержка российских и зарубежных клиентов компании. Разработка сценариев применения оборудования. Составление технико-коммерческих предложений. Возможны командировки по России... Опыт работы с различными Help Desk или Service Desk системами. Знание скриптовых языков Perl, bash, python и т.п.. "
Инженер-программист по тестированию,https://ekaterinburg.hh.ru/vacancy/35554543?query=python,ООО Прософт-Системы,"Составление тест-дизайна, тест кейсов. Разработка и сопровождение автоматических тестов. Выполнение ручного тестирования. Создание тесовой документации. Базовые знания электроники и схемотехники. Опыт программирования на одном из скриптовых языков: Python, bash, windows cmd. Умение работать с системами..."
Инженер по беспроводным технологиям,https://ekaterinburg.hh.ru/vacancy/35439119?query=python, InfiNet Wireless,"Удаленная техническая поддержка российских и зарубежных клиентов компании. Расчет и проектирование беспроводных сетей. Разработка сценариев применения оборудования. Составление технико-коммерческих... Опыт работы с различными Help Desk или Service Desk системами. Знание скриптовых языков Perl, bash, python и т.п.. "
Системный администратор,https://ekaterinburg.hh.ru/vacancy/35339328?query=python,ОАО ОТВ,"Администрирование и поддержка серверной инфраструктуры на базе Linux, FreeBSD, Windows. Автоматизация рутинных задач (Bash, Python, PowerShell). Администрирование сетевого оборудования (L... Маршрутизация пакетов, VPN, NAT, DNS, VLAN, IGMP snooping и т.п. Знание скриптового языка (Bash, python итд.). СХД (NAS, iSCSI..."
Администратор Linux (DevOps),https://ekaterinburg.hh.ru/vacancy/35554000?query=python,ООО Авгуро Технолоджис," Хорошее владение Linux на уровне администрирования. Умение автоматизировать процессы при помощи bash, python и т.д.). Опыт установки и настройки..."
Ведущий аудитор,https://ekaterinburg.hh.ru/vacancy/35580367?query=python, Сбербанк для экспертов, Высшее техническое/математическое образование. Английский язык на уровне чтения технической документации. Наличие опыта работы C#; SharePoint; MS SQL; PL SQL. 
Инженер-программист С++ (QNX),https://ekaterinburg.hh.ru/vacancy/35025023?query=python,ООО Прософт-Системы,"Разработка и сопровождение системного ПО на С++ под QNX/Linux. Анализ и поиск проблем в работе устройства/доработка существующего ПО. Опыт разработки драйверов для QNX либо Linux. Опыт написания скриптов на Bash/Python. Опыт работы с системами контроля версий, желательно..."
Программист в среде BIM,https://ekaterinburg.hh.ru/vacancy/35530671?query=python,ООО Проектное бюро R1,"Разработка плагинов и скриптов. Тестирование моделей. Оптимизация рутинных процессов. Отработка feedback-ов от проектировщиков. Высшее техническое образование желательно. Знание языков программирования (C#, Python). Опыт работы с Revit API. Активная жизненная позиция, коммуникабельность, высокий уровень..."
